,revenue,revenue_share,cumulative_revenue_share,abc_class,xyz_class,coefficient_of_variation,segment,target_service_level,observations,weekly_mean,weekly_std,zero_week_share,variance_estimate_trustworthy,carried_to_policy
Field & Stream Sportsman 16 Gun Fire Safe,6631668.58238,0.20225747440017833,0.20225747440017833,A,X,0.10425540950101714,AX,0.98,144,115.13888888888889,12.003852010603223,0.0,True,True
Perfect Fitness Perfect Rip Deck,4226595.568089521,0.1289058001456969,0.33116327454587524,A,X,0.08948662216852382,AX,0.98,144,489.2708333333333,43.78319420057879,0.0,True,True
Diamondback Women's Serene Classic Comfort Bi,3942337.304562,0.1202362839079263,0.45139955845380153,A,X,0.09506470277225992,AX,0.98,144,91.26388888888889,8.675974471062776,0.0,True,True
Nike Men's Free 5.0+ Running Shoe,3501149.84671732,0.10678062642863236,0.5581801848824339,A,X,0.12264850581841734,AX,0.98,144,243.15972222222223,29.82317660577697,0.0,True,True
Nike Men's Dri-FIT Victory Golf Polo,3007700.0,0.09173103242368251,0.6499112173061165,A,X,0.104895791301834,AX,0.98,144,417.7361111111111,43.81875993035085,0.0,True,True
Pelican Sunstream 100 Kayak,2962851.9314825,0.0903632232581014,0.7402744405642179,A,X,0.11039657750526374,AX,0.98,144,102.88194444444444,11.35781455375335,0.0,True,True
O'Brien Men's Neoprene Life Vest,2762144.67471926,0.08424190667805115,0.824516347242269,A,X,0.1145577758713334,AX,0.98,144,383.78472222222223,43.96552419117528,0.0,True,True
Nike Men's CJ Elite 2 TD Football Cleat,2760077.7867815,0.08417886921938346,0.9086952164616524,B,X,0.10588142246167478,BX,0.95,144,147.45138888888889,15.612362799505144,0.0,True,True
Under Armour Girls' Toddler Spine Surge Runni,1213896.47011106,0.03702230157886471,0.9457175180405171,B,X,0.13355671410024908,BX,0.95,144,210.79861111111111,28.153569836896256,0.0,True,True
adidas Youth Germany Black/Red Away Match Soc,63490.0,0.0019363644141967625,0.9476538824547138,B,Z,0.6891518673812873,BZ,0.95,121,7.4958677685950414,5.165791270370476,0.06611570247933884,True,True
LIJA Women's Eyelet Sleeveless Golf Polo,58695.0,0.0017901230003351547,0.949444005455049,B,Z,0.7044469273041829,BZ,0.95,120,7.525,5.300963127963977,0.075,True,True
adidas Men's F10 Messi TRX FG Soccer Cleat,54710.88159188,0.0016686124458001128,0.9511126179008491,B,Z,0.7910201571601891,BZ,0.95,120,7.6,6.011753194417437,0.11666666666666667,False,False
Titleist Pro V1x High Numbers Personalized Go,45543.2414245,0.0013890110568841342,0.9525016289577333,C,Z,0.7854332438769095,CZ,0.9,121,7.239669421487603,5.686277038315477,0.09090909090909091,True,True
Under Armour Women's Micro G Skulpt Running S,44195.88098188,0.0013479182735452496,0.9538495472312786,C,Z,0.7811010514780595,CZ,0.9,120,6.7,5.233377044902999,0.11666666666666667,False,False
Nike Men's Comfort 2 Slide,42920.46058524,0.001309019570297582,0.9551585668015762,C,Z,0.7105910250569171,CZ,0.9,120,7.95,5.649198649202491,0.09166666666666666,True,True
Titleist Pro V1 High Numbers Personalized Gol,42631.801338260004,0.0013002158296505368,0.9564587826312267,C,Z,0.5934592301268258,CZ,0.9,121,6.776859504132231,4.021789823999976,0.04132231404958678,True,True
Titleist Pro V1x Golf Balls,40743.51051642,0.0012426253563308748,0.9577014079875577,C,Z,0.7621818542134063,CZ,0.9,121,7.016528925619835,5.3478710266709255,0.09090909090909091,True,True
Titleist Pro V1x High Numbers Golf Balls,37288.23052206,0.001137243702178021,0.9588386516897357,C,Z,0.7615127089966274,CZ,0.9,121,6.421487603305785,4.890044420581648,0.1487603305785124,False,False
Under Armour Men's Compression EV SL Slide,34867.2505377,0.0010634068855266217,0.9599020585752623,C,Z,0.7039031757905093,CZ,0.9,121,6.404958677685951,4.508470754030122,0.09090909090909091,True,True
TYR Boys' Team Digi Jammer,33551.61061824,0.0010232815378822834,0.9609253401131447,C,Z,0.6807231671613796,CZ,0.9,121,6.933884297520661,4.720055679738822,0.06611570247933884,True,True
Clicgear Rovic Cooler Bag,33071.73045278,0.0010086458019321243,0.9619339859150768,C,Z,0.7394057303555878,CZ,0.9,121,6.8347107438016526,5.053624289289844,0.14049586776859505,False,False
ENO Atlas Hammock Straps,28940.34974591,0.0008826439342004795,0.9628166298492773,C,Z,0.7116033830989021,CZ,0.9,121,7.975206611570248,5.675184005706121,0.0743801652892562,True,True
Under Armour Hustle Storm Medium Duffle Bag,28481.86060322,0.0008686605972938722,0.9636852904465711,C,Z,0.7707304615514313,CZ,0.9,121,6.7272727272727275,5.184914014073265,0.08264462809917356,True,True
Bridgestone e6 Straight Distance NFL Carolina,28375.12979706,0.0008654054431759519,0.9645506958897471,C,Z,0.7319495168525383,CZ,0.9,121,7.330578512396694,5.365613400398359,0.08264462809917356,True,True
Bridgestone e6 Straight Distance NFL San Dieg,28023.23983415,0.000854673245949744,0.9654053691356969,C,Z,0.706801005147305,CZ,0.9,121,7.239669421487603,5.117005624041647,0.12396694214876033,False,False
Under Armour Women's Ignite Slide,27799.30979179,0.0008478436638849231,0.9662532127995818,C,Z,0.7095347910561274,CZ,0.9,121,7.181818181818182,5.09574986303946,0.12396694214876033,False,False
Columbia Men's PFG Anchor Tough T-Shirt,26700.0,0.0008143161105536866,0.9670675289101355,C,Z,0.7206161455337613,CZ,0.9,120,7.416666666666667,5.344569746042064,0.08333333333333333,True,True
Under Armour Women's Ignite PIP VI Slide,26007.86980614,0.0007932070181394227,0.9678607359282749,C,Z,0.7275044131481794,CZ,0.9,120,6.775,4.928842399078915,0.125,False,False
adidas Kids' F5 Messi FG Soccer Cleat,25892.60052118,0.0007896914512557174,0.9686504273795307,C,Z,0.7106068799367828,CZ,0.9,121,6.115702479338843,4.345860257464622,0.12396694214876033,False,False
Nike Women's Tempo Shorts,25740.0,0.0007850373290506327,0.9694354647085813,C,Z,0.7809646366846053,CZ,0.9,121,7.090909090909091,5.537749241945383,0.049586776859504134,True,True
Nike Men's Deutschland Weltmeister Winners Bl,25470.0,0.0007768026717528987,0.9702122673803343,C,Z,0.7924503781120196,CZ,0.9,121,7.016528925619835,5.560251000141361,0.05785123966942149,True,True
