policy,segment,units,units_demanded,units_shipped,units_lost,cycles,cycles_with_stockout,total_safety_stock,holding_cost,total_cost,fill_rate,realised_cycle_service_level,cycles_per_unit,cycle_service_estimable
demand_only,AX,7,65585.0,65114.35375391527,470.64624608472786,101,15,287.03418561568225,29622.361643902284,54872.36164390229,0.9928238736588437,0.8514851485148515,14.428571428571429,True
demand_only,BX,2,12964.0,12846.305187346396,117.69481265360639,20,8,49.92765575925932,5350.540969164777,10350.540969164776,0.9909214121680342,,10.0,False
demand_only,BZ,2,187.0,187.0,0.0,2,0,12.872583333663385,1232.0432849427568,1732.0432849427568,1.0,,1.0,False
demand_only,CZ,29,2533.0,2525.971234472932,7.028765527068018,16,2,144.66222327913076,9034.126298717962,13034.126298717962,0.9972251221764437,,0.5517241379310345,False
flat_baseline,AX,7,65585.0,65472.052740262865,112.94725973712974,103,7,528.8958807019362,31545.002385090127,57295.00238509013,0.998277849207332,0.9320388349514563,14.714285714285714,True
flat_baseline,BX,2,12964.0,12944.341554107408,19.658445892591317,20,1,102.38714179384303,5730.670582142964,10730.670582142964,0.998483612627847,,10.0,False
flat_baseline,BZ,2,187.0,186.20255849515632,0.7974415048436612,2,1,4.294517382964187,1172.8674226375451,1672.8674226375451,0.9957356069259696,,1.0,False
flat_baseline,CZ,29,2533.0,2517.5283522877676,15.471647712232212,16,5,59.441967964201154,8794.243707849402,12794.2437078494,0.9938919669513492,,0.5517241379310345,False
segmented,AX,7,65585.0,65585.0,0.0,104,0,823.9398083270953,34574.026757064574,60574.026757064574,1.0,1.0,14.857142857142858,True
segmented,BX,2,12964.0,12962.317569217674,1.6824307823262643,20,1,129.94422285550445,5944.179620882275,10944.179620882274,0.9998702228646771,,10.0,False
segmented,BZ,2,187.0,187.0,0.0,2,0,13.816290114779068,1239.1347215324424,1739.1347215324424,1.0,,1.0,False
segmented,CZ,29,2533.0,2526.6665083786106,6.33349162138947,16,2,154.46226175470136,9062.409487248282,13062.409487248282,0.9974996085189936,,0.5517241379310345,False
