planning_unit,segment,target_service_level,fit_demand_mean,fit_demand_std,expected_leadtime_demand,order_quantity,segmented_safety_stock,segmented_reorder_point,demand_only_safety_stock,demand_only_reorder_point,flat_baseline_safety_stock,flat_baseline_reorder_point,leadtime_share_of_variance
Field & Stream Sportsman 16 Gun Fire Safe,AX,0.98,16.451657458563535,4.190370970127668,65.70584013935316,214.92673286471685,50.92778797386486,116.63362811321801,17.19875364176788,82.90459378112104,32.85292006967658,98.55876020902974,0.885952879417423
Perfect Fitness Perfect Rip Deck,AX,0.98,70.6560773480663,16.487279276839924,282.1914408805819,1150.111844525482,216.70943898561012,498.90087986619204,67.66958260422358,349.8610234848055,141.09572044029096,423.2871613208729,0.902494000218001
Diamondback Women's Serene Classic Comfort Bi,AX,0.98,12.972375690607734,3.661214514385733,51.8100285944761,220.37805827823573,40.67560052361309,92.4856291180892,15.026909768007151,66.83693836248325,25.90501429723805,77.71504289171415,0.8635192468897276
Nike Men's Free 5.0+ Running Shoe,AX,0.98,34.802486187845304,11.632260401734088,138.99673024861738,625.2181932548465,112.08220828777652,251.0789385363939,47.74288061188559,186.73961086050298,69.49836512430869,208.49509537292607,0.8185554700099485
Nike Men's Dri-FIT Victory Golf Polo,AX,0.98,59.83563535911602,15.818797605603491,238.97596345201225,1159.3103229892224,186.04212999898013,425.0180934509924,64.9258991309481,303.90186258296035,119.48798172600613,358.4639451780184,0.8782095208231121
Pelican Sunstream 100 Kayak,AX,0.98,14.69060773480663,3.84784902148091,58.672430167253815,287.22384175545875,45.62508524583369,104.2975154130875,15.792923309878583,74.4653534771324,29.336215083626907,88.00864525088072,0.880183211425315
O'Brien Men's Neoprene Life Vest,AX,0.98,55.44475138121547,14.296349245040387,221.4393279215779,1116.1867120746974,171.87755731141695,393.3168852329949,58.67723654897137,280.1165644705493,110.71966396078895,332.1589918823669,0.8834530376899437
Nike Men's CJ Elite 2 TD Football Cleat,BX,0.95,21.04696132596685,4.822492728892116,84.05890286654886,426.42678119789963,51.61051738467046,135.66942025121932,15.852435522735878,99.91133838928474,42.02945143327443,126.0883542998233,0.905655721995356
Under Armour Girls' Toddler Spine Surge Runni,BX,0.95,30.225138121546962,10.366072871916119,120.71538072113721,921.3257038853768,78.333705470834,199.0490861919712,34.07522023652344,154.79060095766064,60.357690360568604,181.07307108170582,0.8107743518705461
adidas Youth Germany Black/Red Away Match Soc,BZ,0.95,1.0856353591160222,1.9849679240189857,4.335890382800066,131.9768388067463,6.999538705336345,11.335429088136411,6.524960803297833,10.8608511860979,2.167945191400033,6.5038355742000995,0.13100560460530294
