planning_unit,policy,reorder_point,order_quantity,safety_stock,days,units_demanded,units_shipped,units_lost,stockout_days,orders_placed,cycles,cycles_with_stockout,mean_on_hand,holding_cost,ordering_cost,total_cost,fill_rate,stockout_day_rate,realised_cycle_service_level
Field & Stream Sportsman 16 Gun Fire Safe,segmented,116.63362811321801,214.92673286471685,50.92778797386486,250,4172.0,4172.0,0.0,0,20,20,0,151.53519873586782,6746.0929447292365,5000.0,11746.092944729236,1.0,0.0,1.0
Field & Stream Sportsman 16 Gun Fire Safe,demand_only,82.90459378112104,214.92673286471685,17.19875364176788,250,4172.0,4153.340595782452,18.659404217548285,2,20,20,2,130.42424641143793,5806.268747312308,5000.0,10806.268747312308,0.9955274678289673,0.008,0.9
Field & Stream Sportsman 16 Gun Fire Safe,flat_baseline,98.55876020902974,214.92673286471685,32.85292006967658,250,4172.0,4159.556783935725,12.44321606427468,1,20,20,1,133.9082866099935,5961.372374711752,5000.0,10961.372374711751,0.9970174458139323,0.004,0.95
Perfect Fitness Perfect Rip Deck,segmented,498.90087986619204,1150.111844525482,216.70943898561012,250,17181.0,17181.0,0.0,0,15,15,0,838.029771763367,5595.499113079342,3750.0,9345.499113079342,1.0,0.0,1.0
Perfect Fitness Perfect Rip Deck,demand_only,349.8610234848055,1150.111844525482,67.66958260422358,250,17181.0,17171.588012900436,9.411987099561884,1,15,15,1,681.5510765269784,4550.695658700087,3750.0,8300.695658700086,0.9994521863046643,0.004,0.9333333333333333
Perfect Fitness Perfect Rip Deck,flat_baseline,423.2871613208729,1150.111844525482,141.09572044029096,250,17181.0,17181.0,0.0,0,15,15,0,762.4160532180479,5090.628630773335,3750.0,8840.628630773335,1.0,0.0,1.0
Diamondback Women's Serene Classic Comfort Bi,segmented,92.4856291180892,220.37805827823573,40.67560052361309,250,3361.0,3361.0,0.0,0,15,15,0,156.44572257592864,5223.4389086471765,3750.0,8973.438908647177,1.0,0.0,1.0
Diamondback Women's Serene Classic Comfort Bi,demand_only,66.83693836248325,220.37805827823573,15.026909768007151,250,3361.0,3357.404025779837,3.595974220163157,1,15,15,0,134.39300604048591,4487.138703720243,3750.0,8237.138703720244,0.9989300880035219,0.004,1.0
Diamondback Women's Serene Classic Comfort Bi,flat_baseline,77.71504289171415,220.37805827823573,25.90501429723805,250,3361.0,3361.0,0.0,0,15,15,0,141.67513634955364,4730.275826090349,3750.0,8480.27582609035,1.0,0.0,1.0
Nike Men's Free 5.0+ Running Shoe,segmented,251.0789385363939,625.2181932548465,112.08220828777652,250,8703.0,8703.0,0.0,0,14,14,0,441.8664615238072,4917.542337741663,3500.0,8417.542337741663,1.0,0.0,1.0
