planning_unit,observations,active_weeks,zero_weeks,first_week,last_week,weekly_mean,weekly_std,weekly_variance,coefficient_of_variation,zero_week_share,total_units,sufficient_observations,intermittent,variance_estimate_trustworthy
Perfect Fitness Perfect Rip Deck,144,144,0,2014-12-29,2017-09-25,489.2708333333333,43.78319420057879,1916.9680944055963,0.08948662216852382,0.0,70455.0,True,False,True
Nike Men's Dri-FIT Victory Golf Polo,144,144,0,2014-12-29,2017-09-25,417.7361111111111,43.81875993035085,1920.0837218337213,0.104895791301834,0.0,60154.0,True,False,True
O'Brien Men's Neoprene Life Vest,144,144,0,2014-12-29,2017-09-25,383.78472222222223,43.96552419117528,1932.9673174048185,0.1145577758713334,0.0,55265.0,True,False,True
Nike Men's Free 5.0+ Running Shoe,144,144,0,2014-12-29,2017-09-25,243.15972222222223,29.82317660577697,889.4218628593627,0.12264850581841734,0.0,35015.0,True,False,True
Under Armour Girls' Toddler Spine Surge Runni,144,144,0,2014-12-29,2017-09-25,210.79861111111111,28.153569836896256,792.6234945609947,0.13355671410024908,0.0,30355.0,True,False,True
Nike Men's CJ Elite 2 TD Football Cleat,144,144,0,2014-12-29,2017-09-25,147.45138888888889,15.612362799505144,243.7458721833721,0.10588142246167478,0.0,21233.0,True,False,True
Field & Stream Sportsman 16 Gun Fire Safe,144,144,0,2014-12-29,2017-09-25,115.13888888888889,12.003852010603223,144.09246309246305,0.10425540950101714,0.0,16580.0,True,False,True
Pelican Sunstream 100 Kayak,144,144,0,2014-12-29,2017-09-25,102.88194444444444,11.35781455375335,128.99995143745141,0.11039657750526374,0.0,14815.0,True,False,True
Diamondback Women's Serene Classic Comfort Bi,144,144,0,2014-12-29,2017-09-25,91.26388888888889,8.675974471062776,75.27253302253303,0.09506470277225992,0.0,13142.0,True,False,True
ENO Atlas Hammock Straps,121,112,9,2014-12-29,2017-04-17,7.975206611570248,5.675184005706121,32.20771349862257,0.7116033830989021,0.0743801652892562,965.0,True,False,True
Nike Men's Comfort 2 Slide,120,109,11,2015-01-05,2017-04-17,7.95,5.649198649202491,31.91344537815125,0.7105910250569171,0.09166666666666666,954.0,True,False,True
Team Golf St. Louis Cardinals Putter Grip,119,112,7,2015-01-12,2017-04-17,7.73109243697479,5.623343415562407,31.621991169349077,0.7273672461433983,0.058823529411764705,920.0,True,False,True
adidas Men's F10 Messi TRX FG Soccer Cleat,120,106,14,2015-01-05,2017-04-17,7.6,6.011753194417437,36.14117647058826,0.7910201571601891,0.11666666666666667,912.0,True,True,False
adidas Youth Germany Black/Red Away Match Soc,121,113,8,2014-12-29,2017-04-17,7.4958677685950414,5.165791270370476,26.685399449035813,0.6891518673812873,0.06611570247933884,907.0,True,False,True
LIJA Women's Eyelet Sleeveless Golf Polo,120,111,9,2015-01-05,2017-04-17,7.525,5.300963127963977,28.100210084033627,0.7044469273041829,0.075,903.0,True,False,True
Glove It Women's Imperial Golf Glove,121,109,12,2014-12-29,2017-04-17,7.43801652892562,5.432759522844524,29.51487603305786,0.7304043358490971,0.09917355371900827,900.0,True,False,True
Glove It Women's Mod Oval 3-Zip Carry All Gol,121,109,12,2014-12-29,2017-04-17,7.396694214876033,5.050543434197577,25.507988980716252,0.682810900042354,0.09917355371900827,895.0,True,False,True
Columbia Men's PFG Anchor Tough T-Shirt,120,110,10,2015-01-05,2017-04-17,7.416666666666667,5.344569746042064,28.564425770308127,0.7206161455337613,0.08333333333333333,890.0,True,False,True
Bridgestone e6 Straight Distance NFL Carolina,121,111,10,2014-12-29,2017-04-17,7.330578512396694,5.365613400398359,28.789807162534437,0.7319495168525383,0.08264462809917356,887.0,True,False,True
Glove It Imperial Golf Towel,121,109,12,2014-12-29,2017-04-17,7.264462809917355,5.706383260643764,32.56280991735536,0.78552033508293,0.09917355371900827,879.0,True,False,True
Team Golf Pittsburgh Steelers Putter Grip,120,109,11,2015-01-05,2017-04-17,7.3,5.127942893532232,26.295798319327723,0.7024579306208537,0.09166666666666666,876.0,True,False,True
Bridgestone e6 Straight Distance NFL San Dieg,121,106,15,2014-12-29,2017-04-17,7.239669421487603,5.117005624041647,26.183746556473842,0.706801005147305,0.12396694214876033,876.0,True,True,False
Titleist Pro V1x High Numbers Personalized Go,121,110,11,2014-12-29,2017-04-17,7.239669421487603,5.686277038315477,32.33374655647383,0.7854332438769095,0.09090909090909091,876.0,True,False,True
Team Golf Tennessee Volunteers Putter Grip,120,110,10,2014-12-29,2017-04-10,7.258333333333334,4.657145649670074,21.689005602240897,0.6416274144206761,0.08333333333333333,871.0,True,False,True
Under Armour Women's Ignite Slide,121,106,15,2014-12-29,2017-04-17,7.181818181818182,5.09574986303946,25.966666666666676,0.7095347910561274,0.12396694214876033,869.0,True,True,False
Top Flite Women's 2014 XL Hybrid,120,113,7,2015-01-05,2017-04-17,7.208333333333333,4.900515893496211,24.015056022408963,0.6798403551671044,0.058333333333333334,865.0,True,False,True
Nike Women's Tempo Shorts,121,115,6,2014-12-29,2017-04-17,7.090909090909091,5.537749241945383,30.66666666666666,0.7809646366846053,0.049586776859504134,858.0,True,False,True
Hirzl Women's Soffft Flex Golf Glove,121,109,12,2014-12-29,2017-04-17,7.066115702479339,4.923981345060253,24.245592286501378,0.6968441435699305,0.09917355371900827,855.0,True,False,True
Titleist Pro V1x Golf Balls,121,110,11,2014-12-29,2017-04-17,7.016528925619835,5.3478710266709255,28.59972451790634,0.7621818542134063,0.09090909090909091,849.0,True,False,True
Nike Men's Deutschland Weltmeister Winners Bl,121,114,7,2014-12-29,2017-04-17,7.016528925619835,5.560251000141361,30.916391184573,0.7924503781120196,0.05785123966942149,849.0,True,False,True
Nike Dri-FIT Crew Sock 6 Pack,121,111,10,2014-12-29,2017-04-17,7.008264462809917,5.1969476101659815,27.008264462809905,0.7415455906015139,0.08264462809917356,848.0,True,False,True
Team Golf Texas Longhorns Putter Grip,121,112,9,2014-12-29,2017-04-17,6.991735537190083,4.458130900890707,19.874931129476582,0.6376286513094273,0.0743801652892562,846.0,True,False,True
Clicgear 8.0 Shoe Brush,121,113,8,2014-12-29,2017-04-17,6.983471074380165,4.912540875274185,24.133057851239652,0.703452598707901,0.06611570247933884,845.0,True,False,True
TYR Boys' Team Digi Jammer,121,113,8,2014-12-29,2017-04-17,6.933884297520661,4.720055679738822,22.278925619834713,0.6807231671613796,0.06611570247933884,839.0,True,False,True
Hirzl Women's Hybrid Golf Glove,120,116,4,2015-01-05,2017-04-17,6.966666666666667,4.475767308205249,20.03249299719886,0.6424546375414233,0.03333333333333333,836.0,True,False,True
Glove It Urban Brick Golf Towel,121,111,10,2014-12-29,2017-04-17,6.892561983471074,4.831841700105249,23.346694214875985,0.7010225967778599,0.08264462809917356,834.0,True,False,True
Clicgear Rovic Cooler Bag,121,104,17,2014-12-29,2017-04-17,6.8347107438016526,5.053624289289844,25.53911845730028,0.7394057303555878,0.14049586776859505,827.0,True,True,False
Hirzl Men's Hybrid Golf Glove,121,109,12,2014-12-29,2017-04-17,6.8264462809917354,4.339119891464959,18.82796143250688,0.6356337855535836,0.09917355371900827,826.0,True,False,True
Team Golf San Francisco Giants Putter Grip,121,110,11,2014-12-29,2017-04-17,6.8264462809917354,4.695170720982737,22.04462809917355,0.6877913525894808,0.09090909090909091,826.0,True,False,True
Titleist Pro V1 High Numbers Personalized Gol,121,116,5,2014-12-29,2017-04-17,6.776859504132231,4.021789823999976,16.174793388429755,0.5934592301268258,0.04132231404958678,820.0,True,False,True
adidas Men's Germany Black Crest Away Tee,119,107,12,2015-01-05,2017-04-10,6.882352941176471,5.125834319171582,26.274177467597195,0.7447793455206572,0.10084033613445378,819.0,True,True,False
Under Armour Hustle Storm Medium Duffle Bag,121,111,10,2014-12-29,2017-04-17,6.7272727272727275,5.184914014073265,26.88333333333334,0.7707304615514313,0.08264462809917356,814.0,True,False,True
Under Armour Women's Ignite PIP VI Slide,120,105,15,2015-01-05,2017-04-17,6.775,4.928842399078915,24.293487394957996,0.7275044131481794,0.125,813.0,True,True,False
Bag Boy Beverage Holder,121,109,12,2014-12-29,2017-04-17,6.669421487603306,4.998980612338322,24.989807162534422,0.7495373656665885,0.09917355371900827,807.0,True,False,True
Under Armour Women's Micro G Skulpt Running S,120,106,14,2015-01-05,2017-04-17,6.7,5.233377044902999,27.388235294117642,0.7811010514780595,0.11666666666666667,804.0,True,True,False
Under Armour Men's Tech II T-Shirt,121,105,16,2014-12-29,2017-04-17,6.586776859504132,5.152134543868854,26.544490358126726,0.7821935756689227,0.1322314049586777,797.0,True,True,False
Team Golf New England Patriots Putter Grip,121,105,16,2014-12-29,2017-04-17,6.4958677685950414,4.9768195448869905,24.768732782369153,0.7661516093273866,0.1322314049586777,786.0,True,True,False
Titleist Pro V1x High Numbers Golf Balls,121,103,18,2014-12-29,2017-04-17,6.421487603305785,4.890044420581648,23.91253443526171,0.7615127089966274,0.1487603305785124,777.0,True,True,False
Under Armour Men's Compression EV SL Slide,121,110,11,2014-12-29,2017-04-17,6.404958677685951,4.508470754030122,20.326308539944936,0.7039031757905093,0.09090909090909091,775.0,True,False,True
Nike Women's Legend V-Neck T-Shirt,121,111,10,2014-12-29,2017-04-17,6.347107438016529,4.587502486469178,21.045179063360887,0.7227705740400657,0.08264462809917356,768.0,True,False,True
Bridgestone e6 Straight Distance NFL Tennesse,119,105,14,2014-12-29,2017-04-03,6.38655462184874,5.1058445137178206,26.069648198262367,0.799467759384764,0.11764705882352941,760.0,True,True,False
Under Armour Kids' Mercenary Slide,120,105,15,2015-01-05,2017-04-17,6.325,4.504269683106381,20.28844537815126,0.7121374993053566,0.125,759.0,True,True,False
Glove It Women's Mod Oval Golf Glove,121,108,13,2014-12-29,2017-04-17,6.132231404958677,3.892176230937157,15.149035812672173,0.6347079837512076,0.10743801652892562,742.0,True,True,False
adidas Kids' F5 Messi FG Soccer Cleat,121,106,15,2014-12-29,2017-04-17,6.115702479338843,4.345860257464622,18.88650137741047,0.7106068799367828,0.12396694214876033,740.0,True,True,False
Elevation Training Mask 2.0,21,21,0,2017-04-17,2017-09-04,10.952380952380953,4.727326839517134,22.34761904761905,0.4316254940428687,0.0,230.0,False,False,False
LIJA Women's Mid-Length Panel Golf Shorts,21,21,0,2017-04-17,2017-09-04,10.476190476190476,7.110689471626838,50.561904761904756,0.6787476313825618,0.0,220.0,False,False,False
Brooks Women's Ghost 6 Running Shoe,20,20,0,2017-04-24,2017-09-04,10.35,6.318519146962072,39.92368421052631,0.610484941735466,0.0,207.0,False,False,False
Merrell Women's Grassbow Sport Hiking Shoe,22,22,0,2017-04-17,2017-09-11,9.409090909090908,6.107443475044678,37.300865800865814,0.6491002727100624,0.0,207.0,False,False,False
Bag Boy M330 Push Cart,21,20,1,2017-04-24,2017-09-11,9.666666666666666,6.295501039101919,39.63333333333334,0.6512587281829572,0.047619047619047616,203.0,False,False,False
Nike Women's Free 5.0 TR FIT PRT 4 Training S,20,20,0,2017-04-24,2017-09-04,9.95,5.093597632529023,25.944736842105268,0.5119193600531682,0.0,199.0,False,False,False
Nike Men's Free TR 5.0 TB Training Shoe,20,20,0,2017-04-24,2017-09-04,9.95,4.4777226354476225,20.05,0.4500223754218716,0.0,199.0,False,False,False
LIJA Women's Argyle Golf Polo,20,20,0,2017-04-24,2017-09-04,9.45,4.2112006039033325,17.734210526315792,0.4456296935347442,0.0,189.0,False,False,False
Polar FT4 Heart Rate Monitor,21,19,2,2017-04-17,2017-09-04,8.857142857142858,7.108345196216305,50.528571428571425,0.8025551027986151,0.09523809523809523,186.0,False,False,False
TaylorMade White Smoke IN-12 Putter,20,20,0,2017-04-24,2017-09-04,9.25,5.014452795879652,25.144736842105264,0.5421030049599624,0.0,185.0,False,False,False
Nike Kids' Grade School KD VI Basketball Shoe,20,20,0,2017-04-24,2017-09-04,9.05,4.382681226925146,19.207894736842103,0.4842741687210106,0.0,181.0,False,False,False
Fitbit The One Wireless Activity & Sleep Trac,20,19,1,2017-04-24,2017-09-04,8.95,4.871776937249466,23.73421052631579,0.5443326186870913,0.05,179.0,False,False,False
The North Face Women's Recon Backpack,21,21,0,2017-04-17,2017-09-04,8.19047619047619,5.306779132572295,28.16190476190476,0.6479207080466175,0.0,172.0,False,False,False
