month,order_lines,total_quantity,mean_quantity,share_quantity_one,distinct_products,sales
2015-01,5322,11854,2.227,0.51,54,1051590.08
2015-02,4729,10438,2.207,0.518,54,927009.9
2015-03,5362,12062,2.25,0.497,54,1051253.69
2015-04,5126,11287,2.202,0.523,54,1014463.28
2015-05,5357,11902,2.222,0.506,54,1050478.44
2015-06,5134,11203,2.182,0.52,54,1024006.17
2015-07,5299,11800,2.227,0.507,54,1038081.19
2015-08,5273,11612,2.202,0.517,54,1029494.69
2015-09,5140,11366,2.211,0.519,54,1018338.6
2015-10,5302,11703,2.207,0.52,54,1049154.27
2015-11,5235,11463,2.19,0.524,54,1029120.24
2015-12,5371,11790,2.195,0.521,54,1057840.88
2016-01,5317,11597,2.181,0.529,54,1046308.25
2016-02,4894,10765,2.2,0.521,54,968542.85
2016-03,5210,11349,2.178,0.524,54,1025853.12
2016-04,5097,11208,2.199,0.519,54,1001211.58
2016-05,5302,11603,2.188,0.522,54,1029400.2
2016-06,5054,11008,2.178,0.525,54,1003059.55
2016-07,5305,11652,2.196,0.524,54,1045715.62
2016-08,5334,11683,2.19,0.528,54,1048200.25
2016-09,5160,11284,2.187,0.523,54,1002397.04
2016-10,5398,11936,2.211,0.518,54,1048130.55
2016-11,5210,11493,2.206,0.528,54,1047590.14
2016-12,5269,11774,2.235,0.512,54,1037408.17
2017-01,5217,11605,2.224,0.506,54,1029698.02
2017-02,4906,11070,2.256,0.505,54,992534.9
2017-03,5347,11676,2.184,0.526,54,1048004.78
2017-04,5212,11189,2.147,0.543,87,1038321.62
2017-05,5317,11033,2.075,0.569,42,1105485.32
2017-06,4951,10194,2.059,0.579,42,1032086.49
2017-07,5318,11091,2.086,0.564,42,1104373.36
2017-08,5305,11095,2.091,0.571,42,1109337.17
2017-09,5189,10502,2.024,0.583,53,1143775.11
2017-10,2255,2490,1.104,0.958,20,1073994.17
2017-11,2055,2055,1.0,1.0,8,626914.38
2017-12,2124,2124,1.0,1.0,14,503910.82
2018-01,2123,2123,1.0,1.0,10,331650.12
