,weeks_covered,interior_gaps,unit_price,revenue,revenue_share
Field & Stream Sportsman 16 Gun Fire Safe,144,0,399.980011,6631668.58238,0.20226
Perfect Fitness Perfect Rip Deck,144,0,59.99000168,4226595.568089521,0.12891
Diamondback Women's Serene Classic Comfort Bi,144,0,299.980011,3942337.304562,0.12024
Nike Men's Free 5.0+ Running Shoe,144,0,99.98999786,3501149.84671732,0.10678
Nike Men's Dri-FIT Victory Golf Polo,144,0,50.0,3007700.0,0.09173
Pelican Sunstream 100 Kayak,144,0,199.9900055,2962851.9314825,0.09036
O'Brien Men's Neoprene Life Vest,144,0,49.97999954,2762144.67471926,0.08424
Nike Men's CJ Elite 2 TD Football Cleat,144,0,129.9900055,2760077.7867815,0.08418
Under Armour Girls' Toddler Spine Surge Runni,144,0,39.99000168,1213896.47011106,0.03702
adidas Youth Germany Black/Red Away Match Soc,113,8,70.0,63490.0,0.00194
LIJA Women's Eyelet Sleeveless Golf Polo,111,9,65.0,58695.0,0.00179
adidas Men's F10 Messi TRX FG Soccer Cleat,106,14,59.99000168,54710.88159188,0.00167
Titleist Pro V1x High Numbers Personalized Go,110,11,51.99000168,45543.2414245,0.00139
Under Armour Women's Micro G Skulpt Running S,106,14,54.97000122,44195.88098188,0.00135
Nike Men's Comfort 2 Slide,109,11,44.99000168,42920.46058524,0.00131
Titleist Pro V1 High Numbers Personalized Gol,116,5,51.99000168,42631.801338260004,0.0013
Titleist Pro V1x Golf Balls,110,11,47.99000168,40743.51051642,0.00124
Titleist Pro V1x High Numbers Golf Balls,103,18,47.99000168,37288.23052206,0.00114
Under Armour Men's Compression EV SL Slide,110,11,44.99000168,34867.2505377,0.00106
TYR Boys' Team Digi Jammer,113,8,39.99000168,33551.61061824,0.00102
Clicgear Rovic Cooler Bag,104,17,39.99000168,33071.73045278,0.00101
ENO Atlas Hammock Straps,112,9,29.98999977,28940.34974591,0.00088
Under Armour Hustle Storm Medium Duffle Bag,111,10,34.99000168,28481.86060322,0.00087
Bridgestone e6 Straight Distance NFL Carolina,111,10,31.98999977,28375.12979706,0.00087
Bridgestone e6 Straight Distance NFL San Dieg,106,15,31.98999977,28023.23983415,0.00085
Under Armour Women's Ignite Slide,106,15,31.98999977,27799.30979179,0.00085
Columbia Men's PFG Anchor Tough T-Shirt,110,10,30.0,26700.0,0.00081
Under Armour Women's Ignite PIP VI Slide,105,15,31.98999977,26007.86980614,0.00079
adidas Kids' F5 Messi FG Soccer Cleat,106,15,34.99000168,25892.60052118,0.00079
