planning_unit,service_level,z,demand_mean,demand_std,leadtime_mean,leadtime_std,demand_variance_term,leadtime_variance_term,total_variance,sigma_demand_over_leadtime,safety_stock,leadtime_share_of_variance,demand_share_of_variance,dominant_driver,demand_only_safety_stock,understatement_vs_demand_only,segment,abc_class,xyz_class,unit_price,annual_demand,expected_demand_over_leadtime,reorder_point,economic_order_quantity,days_of_cover_at_eoq,expected_fill_rate,orders_per_year,ordering_cost,cycle_stock_holding_cost,safety_stock_holding_cost,total_annual_cost
Field & Stream Sportsman 16 Gun Fire Safe,0.98,2.0537489106318225,16.51394422310757,4.150076550468947,3.9938735841568036,1.4187410036618897,68.78702540957954,548.9185002791625,617.705525688742,24.853682336602397,51.04322302398654,0.8886410715965638,0.1113589284034362,lead time,17.033371196683973,2.996660052469446,AX,A,X,399.980011,6027.589641434262,65.95460560290816,116.9978286268947,215.3332099545113,13.039477852492723,0.999152455359444,27.991918398037992,6997.979599509498,6997.979599509497,3317.6436973240584,17313.602896343054
Perfect Fitness Perfect Rip Deck,0.98,2.0537489106318225,70.17430278884463,16.34493884767238,3.9938735841568036,1.4187410036618897,1066.991388700295,9912.026493210533,10979.017881910828,104.78080874812348,215.19347182157992,0.9028154066077,0.09718459339230003,lead time,67.0853675091955,3.207755726941244,AX,A,X,59.99000168,25613.620517928288,280.2672941949877,495.4607660165676,1146.1840691855796,16.333387345998464,0.999328709916745,22.34686487671045,5586.716219177612,5586.716219177613,2097.786719616512,13271.219157971738
Diamondback Women's Serene Classic Comfort Bi,0.98,2.0537489106318225,13.089641434262948,3.6247091911978364,3.9938735841568036,1.4187410036618897,52.47357486602216,344.8750221641635,397.34859703018566,19.933604717415907,40.938618973358274,0.8679407068296863,0.13205929317031379,lead time,14.877079105138026,2.7517914426642727,AX,A,X,299.980011,4777.719123505976,52.27837315038716,93.21699212374543,221.3718876864958,16.911990202194627,0.9993387796261602,21.582320923567877,5395.580230891969,5395.580230891969,1995.624697617334,12786.785159401272
Nike Men's Free 5.0+ Running Shoe,0.98,2.0537489106318225,34.875498007968126,11.79694593742991,3.9938735841568036,1.4187410036618897,555.8191331702194,2448.2010341857144,3004.020167355934,54.80894240318759,112.56380575342881,0.814974899566191,0.185025100433809,lead time,48.41880786915865,2.324795068428949,AX,A,X,99.98999786,12729.556772908367,139.28833022833712,251.8521359817659,625.8736694440935,17.945942142563755,0.9993569457778178,20.338859732212207,5084.714933053052,5084.714933053052,1828.9788881648053,11998.40875427091
Nike Men's Dri-FIT Victory Golf Polo,0.98,2.0537489106318225,59.91434262948207,15.614518688851154,3.9938735841568036,1.4187410036618897,973.7590745241337,7225.498889913789,8199.257964437922,90.54975408270263,185.96645880532995,0.8812381463362232,0.1187618536637769,lead time,64.08746673713938,2.90176017672985,AX,A,X,50.0,21868.735059760955,239.29031034000832,425.25676914533824,1160.0725457357848,19.36218432554324,0.9994268279828864,18.851178868206507,4712.794717051626,4712.794717051626,1510.9774777933058,10936.566911896558
Pelican Sunstream 100 Kayak,0.98,2.0537489106318225,14.75597609561753,3.981664624736075,3.9938735841568036,1.4187410036618897,63.31748666346045,438.2703870328396,501.58787369630005,22.396157565446355,45.9960842023741,0.8737659142417831,0.12623408575821699,lead time,16.342149526415685,2.8145675774184644,AX,A,X,199.9900055,5385.931274900398,58.9335031367361,104.9295873391102,287.86215816713724,19.508174606804307,0.9994286900466184,18.710105243403486,4677.526310850872,4677.526310850872,1494.7980340493298,10849.850655751074
O'Brien Men's Neoprene Life Vest,0.98,2.0537489106318225,55.04482071713147,14.53297495300858,3.9938735841568036,1.4187410036618897,843.5354998165622,6098.7265945617555,6942.262094378318,83.32023820404211,171.11884844513546,0.8784927033366202,0.12150729666337973,lead time,59.64843153043381,2.8687904116611556,AX,A,X,49.97999954,20091.359561752986,219.84205540679855,390.960903851934,1112.153821858775,20.204513474101333,0.9994498659861153,18.065270439096018,4516.317609774004,4516.317609774004,1389.784494568145,10422.419714116153
Nike Men's CJ Elite 2 TD Football Cleat,0.95,1.644853626951472,21.14840637450199,4.809728369589233,3.9938735841568036,1.4187410036618897,92.39222259572679,900.246694039297,992.6389166350239,31.50617267512866,51.823042396044734,0.9069226271029853,0.09307737289701469,lead time,15.810476686463153,3.277765966437644,BX,B,X,129.9900055,7719.168326693227,84.46406156613686,136.2871039621816,427.4532211624448,20.212077146286184,0.9984600486269958,18.05851013521715,4514.627533804288,4514.627533804287,1094.6776044893957,10123.93267209797
Under Armour Girls' Toddler Spine Surge Runni,0.95,1.644853626951472,30.23406374501992,10.500438913103435,3.9938735841568036,1.4187410036618897,440.36137565512684,1839.9214822791064,2280.282857934233,47.75230735717629,78.54555595175289,0.8068830039558945,0.19311699604410548,lead time,34.51690654360815,2.275567651247066,BX,B,X,39.99000168,11035.43326693227,120.75102853294798,199.29658448470087,921.4617297206086,30.477600943485125,0.9989172778760993,11.976008238864424,2994.002059716106,2994.002059716106,510.41849860090895,6498.422618033121
adidas Youth Germany Black/Red Away Match Soc,0.95,1.644853626951472,0.9033864541832669,1.85130938708678,3.9938735841568036,1.4187410036618897,13.688388437291236,1.6426815896321405,15.331070026923376,3.9154910326705354,6.440409626384095,0.1071472236932827,0.8928527763067173,demand,6.085600195020096,1.058303112263987,BZ,B,Z,70.0,329.73605577689244,3.6080112956476302,10.048420922031724,120.3905833594208,133.26587176720892,0.9993204934186998,2.7388857714268227,684.7214428567056,684.7214428567058,73.25965950011907,1442.7025452135306
LIJA Women's Eyelet Sleeveless Golf Polo,0.95,1.644853626951472,0.899402390438247,1.8408350335031507,3.9938735841568036,1.4187410036618897,13.533934058533687,1.6282246162340854,15.162158674767772,3.89386166610574,6.404832484341328,0.10738738798082284,0.8926126120191772,demand,6.051169035833057,1.0584454749840884,BZ,B,Z,65.0,328.2818725099601,3.5920994486987983,9.996931933040127,124.65941719873985,138.60249708475615,0.9993473875132902,2.633430188323379,658.3575470808447,658.3575470808448,67.65104311585527,1384.366137277545
Titleist Pro V1x High Numbers Personalized Go,0.9,1.2815515655446004,0.8725099601593626,1.8642037196549288,3.9938735841568036,1.4187410036618897,13.879731173095424,1.532311383743922,15.412042556839346,3.9258174380425976,5.031137483765783,0.0994229919942658,0.9005770080057343,demand,4.774485874714603,1.0537548158662258,CZ,C,Z,51.99000168,318.46613545816734,3.4846944817941834,8.515831965559967,137.28719528821173,157.34742473671756,0.9986461908331569,2.3197074919449,579.926872986225,579.926872986225,42.50493751291028,1202.3586834853604
Nike Men's Comfort 2 Slide,0.9,1.2815515655446004,0.950199203187251,1.9360436887284767,3.9938735841568036,1.4187410036618897,14.97009722757216,1.8173374034729823,16.78743463104514,4.097247201603186,5.250833565637796,0.10825581414995745,0.8917441858500426,demand,4.958478060743005,1.0589607337802727,CZ,C,Z,44.99000168,346.82270916334664,3.7949754972964054,9.045809062934202,154.01182883942573,162.08372762555913,0.9987405078279094,2.251922542423332,562.980635605833,562.980635605833,38.388189277659784,1164.3494604893258
Titleist Pro V1 High Numbers Personalized Gol,0.9,1.2815515655446004,0.8167330677290837,1.7162291679119592,3.9938735841568036,1.4187410036618897,11.76372522122195,1.3426614520514237,13.106386673273374,3.620274391986521,4.639568314751352,0.10244329619767646,0.8975567038023236,demand,4.395502397927629,1.055526284535482,CZ,C,Z,51.99000168,298.10756972111557,3.2619286245105372,7.9014969392618895,132.8265540509723,162.63153691119047,0.9987096308665011,2.244337149684065,561.0842874210163,561.0842874210161,39.1968142277396,1161.365389069772
Titleist Pro V1x Golf Balls,0.9,1.2815515655446004,0.8456175298804781,1.9005878077811127,3.9938735841568036,1.4187410036618897,14.426806012645505,1.4393095141286705,15.866115526774175,3.983229283731251,5.104713724488882,0.09071593558611282,0.9092840644138872,demand,4.867670601786702,1.0486974452657443,CZ,C,Z,47.99000168,308.6503984063745,3.377289514889568,8.48200323937845,140.67481668375345,166.35749817489807,0.998659470635924,2.1940700239207818,548.5175059801954,548.5175059801954,39.808473284797834,1136.8434852451887
Under Armour Men's Compression EV SL Slide,0.9,1.2815515655446004,0.7719123505976095,1.6829352676030134,3.9938735841568036,1.4187410036618897,11.311732789137295,1.1993397302771953,12.51107251941449,3.537099450031691,4.532975337675059,0.09586226348029542,0.9041377365197045,demand,4.310232073089611,1.0516777892253453,CZ,C,Z,44.99000168,281.74800796812747,3.082920346336178,7.615895684011237,138.81319231620895,179.830251723192,0.9987936483788161,2.0296918705415314,507.42296763538286,507.4229676353828,33.14001730932741,1047.9859525800932
TYR Boys' Team Digi Jammer,0.9,1.2815515655446004,0.8356573705179283,1.7693196404734117,3.9938735841568036,1.4187410036618897,12.502789264934306,1.4056032004602768,13.908392465394583,3.7293957238934277,4.77941292849096,0.10106151404323344,0.8989384859567665,demand,4.531474506905879,1.0547147338481608,CZ,C,Z,39.99000168,305.0149402390438,3.3375098975174886,8.116922826008448,153.1944968446396,183.3221392515115,0.9988474688096047,1.9910306605097647,497.75766512744116,497.7576651274412,31.058418793962172,1026.5737490488445
ENO Atlas Hammock Straps,0.9,1.2815515655446004,0.9611553784860558,1.983351710549025,3.9938735841568036,1.4187410036618897,15.710636646923842,1.8594882669342456,17.570124913858088,4.191673283291302,5.371845458453444,0.10583238742187946,0.8941676125781205,demand,5.079640506435747,1.05752473066696,CZ,C,Z,29.98999977,350.8217131474104,3.838733076405693,9.210578534859136,189.72008947139284,197.3875335018429,0.9989540004754838,1.8491542678737216,462.2885669684304,462.2885669684304,26.179017160317827,950.7561510971786
Under Armour Hustle Storm Medium Duffle Bag,0.9,1.2815515655446004,0.8107569721115537,1.7409626566316228,3.9938735841568036,1.4187410036618897,12.105235021089849,1.3230846333781452,13.428319654467995,3.664467171973027,4.696203641128827,0.0985294264229044,0.9014705735770956,demand,4.458848314084425,1.0532324291666648,CZ,C,Z,34.99000168,295.9262948207171,3.238060854087289,7.934264495216116,161.3162493991124,198.96991940627623,0.9989245503001962,1.8344481471830287,458.6120367957572,458.6120367957571,26.702028160066963,943.9261017515813
Bridgestone e6 Straight Distance NFL Carolina,0.9,1.2815515655446004,0.8834661354581673,1.8609074689582317,3.9938735841568036,1.4187410036618897,13.830690797342108,1.5710357048915025,15.40172650223361,3.924503344658227,5.029453405331771,0.10200386980405513,0.8979961301959449,demand,4.766043716690258,1.0552679967493952,CZ,C,Z,31.98999977,322.4651394422311,3.528452060903471,8.557905466235242,176.11347511511042,199.34377566580707,0.9989450071892775,1.831007759238542,457.75193980963553,457.75193980963553,26.144984657965725,941.6488642772368
Columbia Men's PFG Anchor Tough T-Shirt,0.9,1.2815515655446004,0.8864541832669323,1.8789530020043628,3.9938735841568036,1.4187410036618897,14.100228442030435,1.5816807498065624,15.681909191836997,3.9600390391809266,5.074994230280051,0.10086021609090076,0.8991397839090992,demand,4.812260845066334,1.054596663329894,CZ,C,Z,30.0,323.5557768924303,3.540385946115095,8.615380176395146,182.168075925512,205.5019643024877,0.9989708360162269,1.776138740273742,444.0346850684355,444.0346850684355,24.74059687261525,912.8099670094863
Nike Women's Tempo Shorts,0.9,1.2815515655446004,0.8545816733067729,1.8332176258457844,3.9938735841568036,1.4187410036618897,13.422158489600752,1.4699866525698753,14.892145142170628,3.8590342240216824,4.945551351285179,0.09870885883372575,0.9012911411662742,demand,4.695126164375796,1.053337264674479,CZ,C,Z,30.0,311.92231075697214,3.41309117052444,8.35864252180962,178.86316521998026,209.29908843923099,0.9989785547301874,1.743915860894808,435.978965223702,435.9789652237019,24.109562837515245,896.0674932849191
Nike Men's Deutschland Weltmeister Winners Bl,0.9,1.2815515655446004,0.8456175298804781,1.8576109822691977,3.9938735841568036,1.4187410036618897,13.781733708923273,1.4393095141286705,15.221043223051943,3.9014155409353592,4.999865194325744,0.09456050370771349,0.9054394962922866,demand,4.757600954256606,1.0509215132581442,CZ,C,Z,30.0,308.6503984063745,3.377289514889568,8.377154709215311,177.92259867313797,210.40552304809248,0.9989618777965559,1.734745337063095,433.6863342657737,433.6863342657738,24.374342822338,891.7470113538856
Team Golf St. Louis Cardinals Putter Grip,0.9,1.2815515655446004,0.9163346613545816,1.8942564475504697,3.9938735841568036,1.4187410036618897,14.330847105136288,1.690108050291976,16.020955155428265,4.002618537336311,5.129562052801187,0.10549358848428765,0.8945064115157123,demand,4.851455104697934,1.0573244402146371,CZ,C,Z,24.98999977,334.4621513944223,3.6597247982313337,8.789286851032521,202.93113431972344,221.45962919239386,0.9990662020787511,1.6481559249921118,412.03898124802794,412.03898124802794,20.83051010945164,844.9084726055075
Team Golf Pittsburgh Steelers Putter Grip,0.9,1.2815515655446004,0.8725099601593626,1.8066238142131725,3.9938735841568036,1.4187410036618897,13.03556247933546,1.532311383743922,14.567873863079383,3.8167884226243642,4.89141117836676,0.10518428414096793,0.8948157158590321,demand,4.6270157016318265,1.0571416856531712,CZ,C,Z,24.98999977,318.46613545816734,3.4846944817941834,8.376105660160944,198.01898147386115,226.95326187186825,0.9990874668563177,1.6082606479834127,402.0651619958532,402.06516199585326,19.863409186133627,823.9937331778401
Team Golf Tennessee Volunteers Putter Grip,0.9,1.2815515655446004,0.8675298804780877,1.8104001843848567,3.9938735841568036,1.4187410036618897,13.090115683418508,1.5148691651483401,14.604984848566849,3.821646876487524,4.897637537521218,0.10372274814766347,0.8962772518523365,demand,4.636687512632041,1.0562794072661255,CZ,C,Z,24.98999977,316.648406374502,3.4648046731081434,8.36244221062936,197.45305010373954,227.6037454697526,0.9990836864854132,1.6036642949204307,400.91607373010766,400.9160737301078,19.888693652132275,821.7208411123478
